date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:32	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80	https://www.w3.org/2000/svg	C:/My%20Web%20Sites/pw/www.w3.org/2000/svg.html	(from https://www.pornweek.nz/)
14:24:32	8071836/8071836	---M--	200	added ('OK')	video/webm	etag:%225ce9f1c51171399759485cf2b0097ae9%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-transcode.webm	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-transcode.webm	(from https://www.pornweek.nz/)
14:24:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20May%202023%2021:24:33%20GMT	https://www.pornweek.nz/%22https://assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-poster-00001.jpg%22	C:/My%20Web%20Sites/pw/www.pornweek.nz/_https_/assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-poster-00001.1b.delayed	(from https://www.pornweek.nz/)
14:24:33	249316/249316	---M--	200	added ('OK')	video/mp4	etag:%22dd4f695bd5641d967d7a13f2660f0226%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-transcode.mp4	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-transcode.mp4	(from https://www.pornweek.nz/)
14:24:33	518466/518466	---M--	200	added ('OK')	video/webm	etag:%223bc77081edb1b6f97bc6b2c21e672a6d%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-transcode.webm	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/63620615d29481ce159950a6_635a49cec20a8b410cf12800_Story%201-transcode-transcode.webm	(from https://www.pornweek.nz/)
14:24:33	3308045/3308045	---M--	200	added ('OK')	image/png	etag:%22e2b4e7237629174e8076d253c3df784f%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/636200b459a8ce4810227838_Story%208.png	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/636200b459a8ce4810227838_Story%208.png	(from https://www.pornweek.nz/)
14:24:33	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20May%202023%2021:24:33%20GMT	https://www.pornweek.nz/%22https://assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-poster-00001.jpg%22	C:/My%20Web%20Sites/pw/www.pornweek.nz/_https_/assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-poster-00001.1e.delayed	(from https://www.pornweek.nz/)
14:24:34	434636/434636	---M--	200	added ('OK')	video/mp4	etag:%221354c4961edf9519c6f592c24da4d054%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-transcode.mp4	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-transcode.mp4	(from https://www.pornweek.nz/)
14:24:35	681992/681992	---M--	200	added ('OK')	image/png	etag:%222859b09e6af8bcb3c7f6213fd6cecc78%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/6362d856f0cd4424fdfbb177_Story%2023-sm.png	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/6362d856f0cd4424fdfbb177_Story%2023-sm.png	(from https://www.pornweek.nz/)
14:24:35	618054/618054	---M--	200	added ('OK')	video/webm	etag:%22d604102c8c90009957bf7498834ce204%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-transcode.webm	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/636201d24bfbf56cb0bdee2e_Story%2021-transcode.webm	(from https://www.pornweek.nz/)
